"ID_CIDERH","TEMP_MIN_RBE","Anio","Mes","Dia"
"M_015_A_II",6.522805786132835,1996,1,1
"M_015_A_II",6.895173645019554,1996,1,2
"M_015_A_II",5.9582077026367415,1996,1,3
"M_015_A_II",6.528344726562523,1996,1,4
"M_015_A_II",6.804994201660179,1996,1,5
"M_015_A_II",6.137506103515648,1996,1,6
"M_015_A_II",4.856591796875023,1996,1,7
"M_015_A_II",6.024446105957054,1996,1,8
"M_015_A_II",6.528604125976585,1996,1,9
"M_015_A_II",7.183038330078148,1996,1,10
"M_015_A_II",6.086267089843773,1996,1,11
"M_015_A_II",5.2164169311523665,1996,1,12
"M_015_A_II",5.597695922851585,1996,1,13
"M_015_A_II",7.497438049316429,1996,1,14
"M_015_A_II",7.624429321289085,1996,1,15
"M_015_A_II",6.974664306640648,1996,1,16
"M_015_A_II",6.2631698608398665,1996,1,17
"M_015_A_II",4.966760253906273,1996,1,18
"M_015_A_II",4.69916687011721,1996,1,19
"M_015_A_II",6.691629028320335,1996,1,20
"M_015_A_II",6.075967407226585,1996,1,21
"M_015_A_II",5.9702926635742415,1996,1,22
"M_015_A_II",7.063455200195335,1996,1,23
"M_015_A_II",7.7601181030273665,1996,1,24
"M_015_A_II",6.74884948730471,1996,1,25
"M_015_A_II",7.633149719238304,1996,1,26
"M_015_A_II",6.093774414062523,1996,1,27
"M_015_A_II",4.843728637695335,1996,1,28
"M_015_A_II",5.385339355468773,1996,1,29
"M_015_A_II",5.417764282226585,1996,1,30
"M_015_A_II",6.709748840332054,1996,1,31
"M_015_A_II",6.480813598632835,1996,2,1
"M_015_A_II",6.3636642456054915,1996,2,2
"M_015_A_II",6.6806503295898665,1996,2,3
"M_015_A_II",6.95935974121096,1996,2,4
"M_015_A_II",6.555085754394554,1996,2,5
"M_015_A_II",7.249322509765648,1996,2,6
"M_015_A_II",7.425820922851585,1996,2,7
"M_015_A_II",7.871583557128929,1996,2,8
"M_015_A_II",9.476968383789085,1996,2,9
"M_015_A_II",7.330659484863304,1996,2,10
"M_015_A_II",7.53357849121096,1996,2,11
"M_015_A_II",7.605004882812523,1996,2,12
"M_015_A_II",7.531953430175804,1996,2,13
"M_015_A_II",7.091340637207054,1996,2,14
"M_015_A_II",8.089807128906273,1996,2,15
"M_015_A_II",8.646318054199241,1996,2,16
"M_015_A_II",9.576013183593773,1996,2,17
"M_015_A_II",8.442224121093773,1996,2,18
"M_015_A_II",7.306802368164085,1996,2,19
"M_015_A_II",6.31659851074221,1996,2,20
"M_015_A_II",5.8520370483398665,1996,2,21
"M_015_A_II",7.503266906738304,1996,2,22
"M_015_A_II",6.954690551757835,1996,2,23
"M_015_A_II",9.094697570800804,1996,2,24
"M_015_A_II",9.41083679199221,1996,2,25
"M_015_A_II",8.704942321777366,1996,2,26
"M_015_A_II",8.390260314941429,1996,2,27
"M_015_A_II",9.304582214355491,1996,2,28
"M_015_A_II",9.777818298339866,1996,2,29
"M_015_A_II",9.27729187011721,1996,3,1
"M_015_A_II",7.68482360839846,1996,3,2
"M_015_A_II",7.4776779174804915,1996,3,3
"M_015_A_II",6.1089950561523665,1996,3,4
"M_015_A_II",6.3054061889648665,1996,3,5
"M_015_A_II",6.607949829101585,1996,3,6
"M_015_A_II",7.035882568359398,1996,3,7
"M_015_A_II",7.3816696166992415,1996,3,8
"M_015_A_II",6.18903503417971,1996,3,9
"M_015_A_II",6.676728820800804,1996,3,10
"M_015_A_II",5.21009216308596,1996,3,11
"M_015_A_II",4.6839462280273665,1996,3,12
"M_015_A_II",4.5926071166992415,1996,3,13
"M_015_A_II",5.355958557128929,1996,3,14
"M_015_A_II",7.375093078613304,1996,3,15
"M_015_A_II",8.471246337890648,1996,3,16
"M_015_A_II",7.2393966674804915,1996,3,17
"M_015_A_II",6.20289001464846,1996,3,18
"M_015_A_II",6.7518783569336165,1996,3,19
"M_015_A_II",7.5350204467773665,1996,3,20
"M_015_A_II",5.892083740234398,1996,3,21
"M_015_A_II",6.9509445190429915,1996,3,22
"M_015_A_II",7.438195800781273,1996,3,23
"M_015_A_II",7.383264160156273,1996,3,24
"M_015_A_II",5.8066574096679915,1996,3,25
"M_015_A_II",4.425325012207054,1996,3,26
"M_015_A_II",5.030885314941429,1996,3,27
"M_015_A_II",5.5427413940429915,1996,3,28
"M_015_A_II",6.874505615234398,1996,3,29
"M_015_A_II",6.741448974609398,1996,3,30
"M_015_A_II",6.6281906127929915,1996,3,31
"M_015_A_II",5.103913879394554,1996,4,1
"M_015_A_II",4.574914550781273,1996,4,2
"M_015_A_II",2.9074493408203352,1996,4,3
"M_015_A_II",4.499658203125023,1996,4,4
"M_015_A_II",4.7126022338867415,1996,4,5
"M_015_A_II",5.56891784667971,1996,4,6
"M_015_A_II",5.5010848999023665,1996,4,7
"M_015_A_II",5.109826660156273,1996,4,8
"M_015_A_II",4.7121444702148665,1996,4,9
"M_015_A_II",4.703530883789085,1996,4,10
"M_015_A_II",5.196191406250023,1996,4,11
"M_015_A_II",4.0430160522461165,1996,4,12
"M_015_A_II",4.705484008789085,1996,4,13
"M_015_A_II",2.868074035644554,1996,4,14
"M_015_A_II",3.1604095458984602,1996,4,15
"M_015_A_II",4.205911254882835,1996,4,16
"M_015_A_II",4.325440979003929,1996,4,17
"M_015_A_II",3.4662261962890852,1996,4,18
"M_015_A_II",3.7240997314453352,1996,4,19
"M_015_A_II",4.42926940917971,1996,4,20
"M_015_A_II",4.983308410644554,1996,4,21
"M_015_A_II",5.872651672363304,1996,4,22
"M_015_A_II",5.953401184082054,1996,4,23
"M_015_A_II",4.505731201171898,1996,4,24
"M_015_A_II",4.405694580078148,1996,4,25
"M_015_A_II",4.741326904296898,1996,4,26
"M_015_A_II",3.0825286865234602,1996,4,27
"M_015_A_II",2.7594848632812727,1996,4,28
"M_015_A_II",4.7576766967773665,1996,4,29
"M_015_A_II",5.8043075561523665,1996,4,30
"M_015_A_II",6.9258285522461165,1996,5,1
"M_015_A_II",6.780671691894554,1996,5,2
"M_015_A_II",4.9157577514648665,1996,5,3
"M_015_A_II",4.3877120971679915,1996,5,4
"M_015_A_II",3.7157684326172102,1996,5,5
"M_015_A_II",3.7763534545898665,1996,5,6
"M_015_A_II",1.5198150634765852,1996,5,7
"M_015_A_II",3.0770050048828352,1996,5,8
"M_015_A_II",2.7380157470703352,1996,5,9
"M_015_A_II",3.922471618652366,1996,5,10
"M_015_A_II",2.7313705444336165,1996,5,11
"M_015_A_II",2.4958282470703352,1996,5,12
"M_015_A_II",2.1966186523437727,1996,5,13
