ID_CIDERH,ID_PROPIET,COD_BNA,LAT_Y,LON_X,ALTURA,PROPIETARIO,PAIS,REGION,COMUNA,NOMBRE,CUENCA,SUB_CUENCA,GEOMORFO,DATUM,DATO,COD_CUENCA,COMENTARIO,ANOS_DV,ANOI_DV,ANOF_DV,ANOS_PP,ANOI_PP,ANOF_PP,ANOS_TMED,ANOI_TMED,ANOF_TMED,ANOS_TMAX,ANOI_TMAX,ANOF_TMAX,ANOS_TMIN,ANOI_TMIN,ANOF_TMIN,ANOS_V,ANOI_V,ANOF_V,ANOS_HR,ANOI_HR,ANOF_HR,ANOS_R,ANOI_R,ANOF_R,ANOS_RMAX,ANOI_RMAX,ANOF_RMAX,ANOS_RMIN,ANOI_RMIN,ANOF_RMIN,ANOS_VMAX,ANOI_VMAX,ANOF_VMAX,ANOS_VMIN,ANOI_VMIN,ANOF_VMIN,ANOS_HRMAX,ANOI_HRMAX,ANOF_HRMAX,ANOS_HRMIN,ANOI_HRMIN,ANOF_HRMIN,ANOS_TMINS,ANOI_TMINS,ANOF_TMINS,ANOS_TR,ANOI_TR,ANOF_TR,ANOS_PA,ANOI_PA,ANOF_PA,TDATOS_DV,PDATOS_DV,NA_DV,PNA_DV,VALIDOS_DV,PVALIDOS_DV,ANOFAV_DV,PACEPTA_DV,TDATOS_PP,PDATOS_PP,NA_PP,PNA_PP,VALIDOS_PP,PVALIDOS_PP,ANOFAV_PP,PACEPTA_PP,TDATOS_TMED,PDATOS_TMED,NA_TMED,PNA_TMED,VALIDOS_TMED,PVALIDOS_TMED,ANOFAV_TMED,PACEPTA_TMED,TDATOS_TMAX,PDATOS_TMAX,NA_TMAX,PNA_TMAX,VALIDOS_TMAX,PVALIDOS_TMAX,ANOFAV_TMAX,PACEPTA_TMAX,TDATOS_TMIN,PDATOS_TMIN,NA_TMIN,PNA_TMIN,VALIDOS_TMIN,PVALIDOS_TMIN,ANOFAV_TMIN,PACEPTA_TMIN,TDATOS_V,PDATOS_V,NA_V,PNA_V,VALIDOS_V,PVALIDOS_V,ANOFAV_V,PACEPTA_V,TDATOS_HR,PDATOS_HR,NA_HR,PNA_HR,VALIDOS_HR,PVALIDOS_HR,ANOFAV_HR,PACEPTA_HR,TDATOS_R,PDATOS_R,NA_R,PNA_R,VALIDOS_R,PVALIDOS_R,ANOFAV_R,PACEPTA_R,TDATOS_RMAX,PDATOS_RMAX,NA_RMAX,PNA_RMAX,VALIDOS_RMAX,PVALIDOS_RMAX,ANOFAV_RMAX,PACEPTA_RMAX,TDATOS_RMIN,PDATOS_RMIN,NA_RMIN,PNA_RMIN,VALIDOS_RMIN,PVALIDOS_RMIN,ANOFAV_RMIN,PACEPTA_RMIN,TDATOS_VMAX,PDATOS_VMAX,NA_VMAX,PNA_VMAX,VALIDOS_VMAX,PVALIDOS_VMAX,ANOFAV_VMAX,PACEPTA_VMAX,TDATOS_VMIN,PDATOS_VMIN,NA_VMIN,PNA_VMIN,VALIDOS_VMIN,PVALIDOS_VMIN,ANOFAV_VMIN,PACEP_VMIN,TDATOS_HRMAX,PDATOS_HRMAX,NA_HRMAX,PNA_HRMAX,VALIDOS_HRMAX,PVALIDOS_HRMAX,ANOFAV_HRMAX,PACEPTA_HRMAX,TDATOS_HRMIN,PDATOS_HRMIN,NA_HRMIN,PNA_HRMIN,VALIDOS_HRMIN,PVALIDOS_HRMIN,ANOFAV_HRMIN,PACEPTA_HRMIN,TDATOS_TMINSUELO,PDATOS_TMINSUELO,NA_TMINSUELO,PNA_TMINSUELO,VALIDOS_TMINSUELO,PVALIDOS_TMINSUELO,ANOSFAV_TMINSUELO,PACEPTA_TMINSUELO,TDATOS_TROCIO,PDATOS_TROCIO,NA_TROCIO,PNA_TROCIO,VALIDOS_TROCIO,PVALIDO_TROCIO,ANOSFAV_TROCIO,PACEPTA_TROCIO,TDATOS_PA,PDATOS_PA,NA_PA,PNA_PA,VALIDOS_PA,PVALIDO_PA,ANOSFAV_PA,PACEPTA_PA,PCORTE
CFM_001_A,000,02113001-K,-20.929054,-68.887563,3600.0,DGA,CHILE,I,PICA,RIO GUATACONDO EN COPAQUIRE,RIO LOA,0211,Precordillera,WGS 1984,SI,021,NULL,0.0,0.0,0.0,3.0,2011.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0,0.041147,0.0,0.0,822.0,100.0,2.0,66.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
CFM_002_A,NULL,NULL,-19.856731,-68.587852,3893.0,DGA,CHILE,I,PICA,RIO CANCOSA EN EL TAMBO,ALTIPLANICAS,0104,Cordillera Occidental,WGS 1984,SI,010,DATOS CAUDAL AGO94-ACTUAL,0.0,0.0,0.0,2.0,2012.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.0,0.028983,0.0,0.0,579.0,100.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
FM_001_A,NULL,01610004-8,-19.117415,-69.242992,3848.0,DGA,CHILE,I,COLCHANE,QUEBRADA CAMINA EN TARCAVIRE,CAMINA Y CAMARONES,0161,Precordillera,WGS 1984,SI,016,NULL,0.0,0.0,0.0,8.0,2006.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2116.0,0.10592,0.0,0.0,2116.0,100.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
FM_002_A,NULL,01730007-5,-19.783174,-69.143277,2855.0,DGA,CHILE,I,HUARA,QUEBRADA TARAPACA EN SIBAYA,PAMPA DEL TAMARUGAL,0173,Precordillera,WGS 1984,SI,017,NULL,0.0,0.0,0.0,10.0,2004.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3213.0,0.160832,0.0,0.0,3213.0,100.0,7.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
M_001_A,NULL,01611002-7,-19.300307,-69.388453,2600.0,DGA,CHILE,I,CAMIÐA,APAMILCA,CAMINA Y CAMARONES,0161,Depresion Intermedia,WGS 1984,SI,016,NULL,0.0,0.0,0.0,5.0,1986.0,1990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1339.0,0.067026,0.0,0.0,1339.0,100.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
M_001_A_II,NULL,02210002-5,-22.083189,-70.191778,150.0,DGA,CHILE,II,TOCOPILLA,TOCOPILLA,COSTERAS R.LOA Q.CARACOLES,NULL,Planicie marina o fluviomarina - Farellon Costero,WGS 1984,SI,022,NULL,0.0,0.0,0.0,20.0,1994.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6879.0,0.34434,0.0,0.0,6879.0,100.0,16.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
M_001_A_XV,NULL,01410012-1,-18.83571,-69.745881,1870.0,DGA,CHILE,XV,CAMARONES,CODPA,COSTERAS R. SAN JOSE-QDA.CAMARONES,NULL,"Pediplanos, glacis y piedemonte",WGS 1984,SI,014,NULL,0.0,0.0,0.0,52.0,1961.0,2013.0,46.0,1968.0,2013.0,46.0,1968.0,2013.0,46.0,1968.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18478.0,0.924948,0.0,0.0,18478.0,100.0,47.0,90.38462,15592.0,1.658706,301.0,1.930477,15291.0,98.06952,38.0,82.6087,15586.0,1.6605,155.0,0.994482,15431.0,99.00552,38.0,82.6087,15588.0,1.660602,146.0,0.936618,15442.0,99.06338,39.0,84.78261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
M_001_AA,847210,NULL,-15.35,-75.15,60.0,NOAA,OCEANO,NULL,NULL,NULL,NULL,NULL,OCEANO,WGS 1984,SI,NULL,NULL,12.0,1975.0,1986.0,12.0,1975.0,1986.0,12.0,1975.0,1986.0,12.0,1975.0,1986.0,12.0,1975.0,1986.0,12.0,1975.0,1986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1975.0,1986.0,12.0,1975.0,1986.0,4079.0,0.762134,0.0,0.0,4079.0,100.0,11.0,91.666667,4046.0,0.987894,0.0,0.0,4046.0,100.0,11.0,91.666667,4104.0,0.697557,0.0,0.0,4104.0,100.0,11.0,91.666667,3626.0,0.767661,398.0,10.97628,3228.0,89.02372,5.0,41.666667,3626.0,0.767659,387.0,10.67292,3239.0,89.32708,4.0,33.333333,4049.0,0.689669,0.0,0.0,4049.0,100.0,11.0,91.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4056.0,0.7208629,0.0,0.0,4056.0,100.0,10.0,83.33333,4098.0,1.181279,0.0,0.0,4098.0,100.0,11.0,91.66667,85.0
M_001_AH,NULL,01700009-8,-20.678125,-68.707308,3848.0,CMDIC/DGA,CHILE,I,PICA,SALAR COPOSA,ALTIPLANICAS,0107,Cordillera Occidental,WGS 1984,SI,010,NULL,0.0,0.0,0.0,21.0,1982.0,2013.0,5.0,2004.0,2008.0,5.0,2004.0,2008.0,5.0,2004.0,2008.0,0.0,0.0,0.0,5.0,2004.0,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2006.0,2008.0,3.0,2006.0,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6939.0,0.347344,0.0,0.0,6939.0,100.0,18.0,85.71429,1350.0,0.143616,0.0,0.0,1350.0,100.0,3.0,60.0,1350.0,0.143826,422.0,31.25926,928.0,68.74074,2.0,40.0,1350.0,0.143817,422.0,31.25926,928.0,68.74074,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,0.48951,0.0,0.0,1350.0,100.0,3.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.0,0.354518,0.0,0.0,928.0,100.0,2.0,66.66667,928.0,0.355486,0.0,0.0,928.0,100.0,2.0,66.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
M_001_AJ,NULL,01740002-9,-20.074253,-69.275794,2400.0,CMCC,CHILE,I,PICA,CAMPAMENTO,PAMPA DEL TAMARUGAL,0174,Depresion Intermedia,WGS 1984,SI,017,DOS INSTITUCIONES GENERAN DATOS EN ESTA ESTACION DGA Y CMCC,12.0,2002.0,2013.0,21.0,1993.0,2013.0,21.0,1993.0,2013.0,21.0,1993.0,2013.0,21.0,1993.0,2013.0,12.0,2002.0,2013.0,12.0,2002.0,2013.0,12.0,2002.0,2013.0,11.0,2002.0,2013.0,12.0,2002.0,2013.0,12.0,2002.0,2013.0,12.0,2002.0,2013.0,12.0,2002.0,2013.0,12.0,2002.0,2013.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3528.0,28.255646,0.0,0.0,3528.0,100.0,8.0,66.66667,7421.0,0.371471,0.0,0.0,7421.0,100.0,19.0,90.47619,7145.0,0.760098,168.0,2.351295,6977.0,97.64871,17.0,80.95238,7144.0,0.761107,695.0,9.728443,6449.0,90.27156,11.0,52.38095,7144.0,0.761056,686.0,9.602464,6458.0,90.39754,11.0,52.38095,3528.0,19.589117,0.0,0.0,3528.0,100.0,8.0,66.66667,3496.0,1.26765,0.0,0.0,3496.0,100.0,8.0,66.66667,3463.0,26.230874,0.0,0.0,3463.0,100.0,7.0,58.33333,2455.0,25.610265,0.0,0.0,2455.0,100.0,1.0,9.090909,3432.0,26.325075,0.0,0.0,3432.0,100.0,7.0,58.33333,3518.0,19.54879,0.0,0.0,3518.0,100.0,8.0,66.66667,3518.0,19.548789,0.0,0.0,3518.0,100.0,8.0,66.66667,3481.0,1.329824,0.0,0.0,3481.0,100.0,8.0,66.66667,3480.0,1.333073,0.0,0.0,3480.0,100.0,8.0,66.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
